Year,Month,Number of Answers
"2024","11","182"
"2024","10","554"
"2024","9","528"
"2024","8","574"
"2024","7","731"
"2024","6","687"
"2024","5","782"
"2024","4","783"
"2024","3","864"
"2024","2","790"
"2024","1","846"
"2023","12","840"
"2023","11","931"
"2023","10","887"
"2023","9","747"
"2023","8","831"
"2023","7","802"
"2023","6","811"
"2023","5","914"
"2023","4","996"
"2023","3","1146"
"2023","2","1045"
"2023","1","1015"
"2022","12","913"
"2022","11","1047"
"2022","10","1129"
"2022","9","1071"
"2022","8","1064"
"2022","7","1135"
"2022","6","1002"
"2022","5","1123"
"2022","4","1099"
"2022","3","1167"
"2022","2","1116"
"2022","1","1202"
"2021","12","1222"
"2021","11","1226"
"2021","10","1212"
"2021","9","1181"
"2021","8","1087"
"2021","7","1197"
"2021","6","1251"
"2021","5","1312"
"2021","4","1403"
"2021","3","1482"
"2021","2","1272"
"2021","1","1296"
"2020","12","1305"
"2020","11","1283"
"2020","10","1541"
"2020","9","1422"
"2020","8","1547"
"2020","7","1732"
"2020","6","1722"
"2020","5","1773"
"2020","4","1888"
"2020","3","1396"
"2020","2","1535"
"2020","1","1438"
"2019","12","1374"
"2019","11","1490"
"2019","10","1519"
"2019","9","1347"
"2019","8","1552"
"2019","7","1579"
"2019","6","1447"
"2019","5","1606"
"2019","4","1806"
"2019","3","1849"
"2019","2","1499"
"2019","1","1694"
"2018","12","1435"
"2018","11","1542"
"2018","10","1716"
"2018","9","1621"
"2018","8","1626"
"2018","7","1799"
"2018","6","1436"
"2018","5","1677"
"2018","4","1744"
"2018","3","1777"
"2018","2","1596"
"2018","1","1636"
"2017","12","1399"
"2017","11","1694"
"2017","10","1629"
"2017","9","1614"
"2017","8","1690"
"2017","7","1689"
"2017","6","1704"
"2017","5","1812"
"2017","4","1740"
"2017","3","2003"
"2017","2","1698"
"2017","1","1641"
"2016","12","1668"
"2016","11","1657"
"2016","10","1845"
"2016","9","1682"
"2016","8","1696"
"2016","7","1670"
"2016","6","1601"
"2016","5","1732"
"2016","4","1584"
"2016","3","1684"
"2016","2","1473"
"2016","1","1479"
"2015","12","1532"
"2015","11","1454"
"2015","10","1547"
"2015","9","1560"
"2015","8","1503"
"2015","7","1660"
"2015","6","1466"
"2015","5","1607"
"2015","4","1556"
"2015","3","1542"
"2015","2","1295"
"2015","1","1479"
"2014","12","1511"
"2014","11","1314"
"2014","10","1320"
"2014","9","1301"
"2014","8","1446"
"2014","7","1478"
"2014","6","1321"
"2014","5","1490"
"2014","4","1457"
"2014","3","1361"
"2014","2","1263"
"2014","1","1277"
"2013","12","1103"
"2013","11","1099"
"2013","10","1068"
"2013","9","1024"
"2013","8","1080"
"2013","7","1284"
"2013","6","949"
"2013","5","1123"
"2013","4","1196"
"2013","3","1108"
"2013","2","810"
"2013","1","893"
"2012","12","814"
"2012","11","637"