Year,Month,Number of Questions
"2024","11","211"
"2024","10","643"
"2024","9","649"
"2024","8","700"
"2024","7","815"
"2024","6","787"
"2024","5","944"
"2024","4","1065"
"2024","3","1103"
"2024","2","1043"
"2024","1","1000"
"2023","12","922"
"2023","11","1039"
"2023","10","880"
"2023","9","762"
"2023","8","932"
"2023","7","1012"
"2023","6","1005"
"2023","5","1063"
"2023","4","1101"
"2023","3","1251"
"2023","2","1189"
"2023","1","1208"
"2022","12","1052"
"2022","11","1175"
"2022","10","1293"
"2022","9","1154"
"2022","8","1331"
"2022","7","1207"
"2022","6","1244"
"2022","5","1344"
"2022","4","1347"
"2022","3","1394"
"2022","2","1274"
"2022","1","1344"
"2021","12","1204"
"2021","11","1358"
"2021","10","1328"
"2021","9","1287"
"2021","8","1215"
"2021","7","1418"
"2021","6","1521"
"2021","5","1558"
"2021","4","1567"
"2021","3","1779"
"2021","2","1515"
"2021","1","1439"
"2020","12","1453"
"2020","11","1526"
"2020","10","1717"
"2020","9","1580"
"2020","8","1705"
"2020","7","1920"
"2020","6","1817"
"2020","5","2110"
"2020","4","2120"
"2020","3","1675"
"2020","2","1694"
"2020","1","1640"
"2019","12","1470"
"2019","11","1676"
"2019","10","1580"
"2019","9","1405"
"2019","8","1552"
"2019","7","1622"
"2019","6","1453"
"2019","5","1704"
"2019","4","1834"
"2019","3","1862"
"2019","2","1728"
"2019","1","1778"
"2018","12","1538"
"2018","11","1585"
"2018","10","1651"
"2018","9","1479"
"2018","8","1570"
"2018","7","1606"
"2018","6","1596"
"2018","5","1911"
"2018","4","1935"
"2018","3","1779"
"2018","2","1546"
"2018","1","1672"
"2017","12","1423"
"2017","11","1691"
"2017","10","1778"
"2017","9","1582"
"2017","8","1694"
"2017","7","1689"
"2017","6","1790"
"2017","5","2001"
"2017","4","1812"
"2017","3","2294"
"2017","2","1878"
"2017","1","1756"
"2016","12","1831"
"2016","11","1908"
"2016","10","1995"
"2016","9","1820"
"2016","8","1761"
"2016","7","1546"
"2016","6","1604"
"2016","5","1715"
"2016","4","1737"
"2016","3","1853"
"2016","2","1583"
"2016","1","1491"
"2015","12","1500"
"2015","11","1621"
"2015","10","1563"
"2015","9","1496"
"2015","8","1473"
"2015","7","1656"
"2015","6","1594"
"2015","5","1598"
"2015","4","1679"
"2015","3","1577"
"2015","2","1350"
"2015","1","1433"
"2014","12","1305"
"2014","11","1371"
"2014","10","1355"
"2014","9","1180"
"2014","8","1285"
"2014","7","1411"
"2014","6","1325"
"2014","5","1392"
"2014","4","1389"
"2014","3","1378"
"2014","2","1245"
"2014","1","1145"
"2013","12","911"
"2013","11","1033"
"2013","10","1018"
"2013","9","940"
"2013","8","976"
"2013","7","1149"
"2013","6","855"
"2013","5","1072"
"2013","4","1018"
"2013","3","953"
"2013","2","745"
"2013","1","820"
"2012","12","737"
"2012","11","546"